addr	name	kind	target
407cc0	FUN_00407cc0	gamemisc	game_misc
407d60	FUN_00407d60	lib	crtstl
407db0	FUN_00407db0	game	CombatBehavior
408230	FUN_00408230	lib	crtstl
408300	FUN_00408300	lib	crtstl
4084b0	FUN_004084b0	game	CombatBehavior
408f70	FUN_00408f70	lib	crtstl
409270	FUN_00409270	lib	other
4094a0	FUN_004094a0	lib	crtstl
4095d0	FUN_004095d0	lib	crtstl
409620	FUN_00409620	lib	crtstl
409660	FUN_00409660	lib	other
4096b0	FUN_004096b0	game	CombatBehavior
409740	FUN_00409740	lib	crtstl
409780	FUN_00409780	lib	crtstl
409ac0	FUN_00409ac0	lib	crtstl
409d10	FUN_00409d10	lib	other
409de0	FUN_00409de0	gamemisc	game_misc
409e60	FUN_00409e60	game	Creature
409f20	FUN_00409f20	game	Creature
40a1d0	FUN_0040a1d0	lib	audit
40a430	FUN_0040a430	game	Creature
40a4f0	FUN_0040a4f0	game	Creature
40a7a0	FUN_0040a7a0	game	CombatBehavior
40a7f0	FUN_0040a7f0	lib	crtstl
40a840	FUN_0040a840	lib	crtstl
40ef90	FUN_0040ef90	lib	crtstl
40efc0	FUN_0040efc0	lib	crtstl
40f0a0	FUN_0040f0a0	lib	crtstl
40f220	FUN_0040f220	lib	crtstl
40f2b0	FUN_0040f2b0	gamemisc	game_misc
40f2f0	FUN_0040f2f0	game	CombatBehavior
40f520	FUN_0040f520	lib	crtstl
40f5a0	FUN_0040f5a0	game	CombatBehavior
40f610	FUN_0040f610	lib	crtstl
40f650	FUN_0040f650	game	CombatBehavior
40f690	FUN_0040f690	game	CombatBehavior
40f6d0	FUN_0040f6d0	lib	crtstl
40f6e0	FUN_0040f6e0	lib	crtstl
40f710	FUN_0040f710	game	CombatBehavior
40f7f0	FUN_0040f7f0	lib	crtstl
40f8b0	FUN_0040f8b0	lib	crtstl
40f8f0	FUN_0040f8f0	lib	other
40fb20	FUN_0040fb20	game	CombatBehavior
40fc30	FUN_0040fc30	game	CombatBehavior
40fcf0	FUN_0040fcf0	gamemisc	game_misc
40fda0	FUN_0040fda0	gamemisc	game_misc
40ffe0	FUN_0040ffe0	lib	crtstl
410010	FUN_00410010	gamemisc	game_misc
410290	FUN_00410290	gamemisc	game_misc
4103a0	FUN_004103a0	lib	crtstl
410400	FUN_00410400	game	CombatBehavior
410690	FUN_00410690	game	CombatBehavior
410f00	FUN_00410f00	gamemisc	game_misc
410f90	FUN_00410f90	gamemisc	game_misc
411040	FUN_00411040	lib	crtstl
411090	FUN_00411090	game	World
4110d0	FUN_004110d0	lib	crtstl
411360	FUN_00411360	lib	crtstl
411540	FUN_00411540	lib	crtstl
4116f0	FUN_004116f0	lib	crtstl
411740	FUN_00411740	gamemisc	game_misc
